date;euribor (3m)
01/12/2014;0.082%
02/01/2015;0.076%
02/02/2015;0.055%
02/03/2015;0.039%
01/04/2015;0.018%
04/05/2015;-0.007%
01/06/2015;-0.013%
01/07/2015;-0.014%
03/08/2015;-0.023%
01/09/2015;-0.033%
01/10/2015;-0.043%
02/11/2015;-0.066%
01/12/2015;-0.116%
04/01/2016;-0.132%
01/02/2016;-0.162%
01/03/2016;-0.207%
01/04/2016;-0.245%
02/05/2016;-0.250%
01/06/2016;-0.261%
01/07/2016;-0.290%
01/08/2016;-0.297%
01/09/2016;-0.299%
03/10/2016;-0.301%
01/11/2016;-0.313%
01/12/2016;-0.313%
02/01/2017;-0.318%
01/02/2017;-0.328%
01/03/2017;-0.329%
03/04/2017;-0.330%
02/05/2017;-0.329%
01/06/2017;-0.329%
03/07/2017;-0.331%
01/08/2017;-0.331%
01/09/2017;-0.329%
02/10/2017;-0.329%
01/11/2017;-0.329%
01/12/2017;-0.326%
02/01/2018;-0.329%
01/02/2018;-0.328%
01/03/2018;-0.327%
03/04/2018;-0.328%
02/05/2018;-0.329%
01/06/2018;-0.321%
02/07/2018;-0.321%
01/08/2018;-0.319%
03/09/2018;-0.319%
01/10/2018;-0.317%
01/11/2018;-0.318%
03/12/2018;-0.316%
02/01/2019;-0.310%
01/02/2019;-0.308%
01/03/2019;-0.310%
01/04/2019;-0.310%
02/05/2019;-0.309%
03/06/2019;-0.323%
01/07/2019;-0.346%
01/08/2019;-0.377%
02/09/2019;-0.436%
01/10/2019;-0.428%
01/11/2019;-0.399%
02/12/2019;-0.400%
02/01/2020;-0.379%
03/02/2020;-0.393%
02/03/2020;-0.434%
01/04/2020;-0.343%
04/05/2020;-0.286%
01/06/2020;-0.325%
01/07/2020;-0.417%
03/08/2020;-0.469%
01/09/2020;-0.478%
01/10/2020;-0.498%
02/11/2020;-0.520%
01/12/2020;-0.526%
04/01/2021;-0.546%
01/02/2021;-0.543%
01/03/2021;-0.533%
01/04/2021;-0.538%
03/05/2021;-0.535%
01/06/2021;-0.545%
01/07/2021;-0.540%
02/08/2021;-0.543%
01/09/2021;-0.550%
01/10/2021;-0.547%
01/11/2021;-0.558%
01/12/2021;-0.572%
03/01/2022;-0.570%
01/02/2022;-0.547%
01/03/2022;-0.534%
01/04/2022;-0.461%
02/05/2022;-0.416%
01/06/2022;-0.335%
01/07/2022;-0.176%
01/08/2022;0.246%
01/09/2022;0.712%
03/10/2022;1.185%
01/11/2022;1.737%
01/12/2022;1.972%
02/01/2023;2.162%
01/02/2023;2.483%
01/03/2023;2.783%
03/04/2023;3.053%
02/05/2023;3.274%
01/06/2023;3.462%
03/07/2023;3.597%
01/08/2023;3.723%
01/09/2023;3.770%
02/10/2023;3.951%
01/11/2023;3.953%
01/12/2023;3.960%
02/01/2024;3.905%
01/02/2024;3.884%
01/03/2024;3.938%
02/04/2024;3.883%
02/05/2024;3.853%
03/06/2024;3.782%
01/07/2024;3.709%
01/08/2024;3.638%
02/09/2024;3.469%
01/10/2024;3.252%
01/11/2024;3.085%
02/12/2024;2.924%
02/01/2025;2.736%
03/02/2025;2.562%
03/03/2025;2.464%
01/04/2025;2.324%
02/05/2025;2.142%
02/06/2025;1.979%
01/07/2025;1.961%
01/08/2025;1.994%
01/09/2025;2.074%
01/10/2025;2.017%
